ds,y,yhat,yhat_lower,yhat_upper
2014-11-18,267,295.73857472263023,221.41855690886825,363.75302727173744
2014-11-19,213,297.82257700000105,227.58773538712464,376.5350057546312
2014-11-20,254,297.7192134597788,222.2765997143174,368.69398303206816
2014-11-21,284,309.2470387546465,242.22369725114655,385.0288526999778
2014-11-22,383,383.5568228944229,317.32936267386435,459.2425208706012
2014-11-23,391,363.70600069746484,291.66012301484545,439.19839495141053
2014-11-24,229,285.45697025314234,210.67400057697068,359.92537716895066
2014-11-25,272,293.85882363105463,212.86400423473452,363.3953909632611
2014-11-26,315,295.48711365239336,226.42324075685409,367.8803987570684
2014-11-27,307,295.16812487584883,216.1068689271624,363.80172862948973
2014-11-28,307,306.73022440150777,232.3701468774293,381.5804589989357
2014-11-29,393,381.32513788855607,299.63680868608674,456.8042942423375
2014-11-30,339,362.0022602686079,290.71458241464427,431.98433636011663
2014-12-01,248,284.50709808570355,210.2808160044489,363.65333767032143
2014-12-02,258,293.8634248741663,224.8287388071669,363.8549496557563
2014-12-03,254,296.61374302060034,220.1796221140271,371.9498586865993
2014-12-04,186,297.5445016250818,224.8685159185863,373.21946966593276
2014-12-05,289,310.43861955730074,234.3426003752276,378.69520566486113
2014-12-06,401,386.3981256780596,310.9207111308256,458.338580976961
2014-12-07,398,368.419986215954,291.41002892579917,444.12531303741025
2014-12-08,256,292.1961718178262,214.66706894623005,368.0833197640303
2014-12-09,277,302.69749763723695,223.29766221351503,381.996445320425
2014-12-10,292,306.4157796387799,229.16080402816684,379.7981899141246
2014-12-11,272,308.09070561832056,230.83497486744437,385.06352262884286
2014-12-12,324,321.4639198820996,244.19570789967273,399.0374719640843
2014-12-13,450,397.6030855592289,327.64900638933653,473.2722456336956
2014-12-14,428,379.4789502324777,302.8617932308208,457.2653820011969
2014-12-15,206,302.7664281234368,225.41026108708215,383.5973689290741
2014-12-16,252,312.42919912918927,240.02869087124515,388.5498982430827
2014-12-17,272,314.9623420535841,236.80882327211242,387.75201005270736
2014-12-18,300,315.16158425519717,242.44954474481116,392.3700180990548
2014-12-19,329,326.75064988122614,252.3259373643133,406.67244790094605
2014-12-20,428,400.8314856206467,323.34719176497316,475.36357227427175
2014-12-21,405,380.4183832505781,306.5421377438766,450.8104086712213
2014-12-22,564,301.23803741488257,226.41017860687668,376.9996959200429
2014-12-23,0,308.31286338554423,230.58365127900825,376.64320229760847
2014-12-24,307,308.20212580210466,234.79990037698457,384.89826599613036
2014-12-25,287,305.72729949379453,233.72261526081698,384.30155520213447
2014-12-26,259,314.7241981846531,236.1003823337978,389.2658804597945
